Dictamnus albus
Didymodon tophaceus
Diloba caeruleocephala
Diplotaxis muralis
Dipsacus pilosus
Doronicum pardalianches
Draba muralis
Draba nemorosa
Dracocephalum austriacum
Dracocephalum ruyschiana
Drepanocladus trifarius
Drosera anglica
Drosera intermedia
Drosera rotundifolia
Drymonia querna
Dryopteris cristata
Dysauxes ancilla
Dysauxes punctata
Ecdyonurus dispar
Echinops sphaerocephalus
Eilema lutarella
Elaphrus cupreus
Eleocharis austriaca
Eleocharis mamillata
Eleocharis ovata
Eleocharis palustris
Eleocharis uniglumis
Elymus athericus
Emberiza calandra
Emberiza cirlus
Emberiza hortulana
Emberiza schoeniclus
Emys orbicularis
Endromis versicolora
Entoloma asprellum
Entoloma corvinum
Epeolus variegatus
Ephedra helvetica
Ephemera vulgata
Ephemerum serratum
Epichnopterix plumella
Epidalea calamita
Epilobium dodonaei
Epipactis microphylla
Epipactis muelleri
Epipactis palustris
Epipactis rhodanensis
Epipogium aphyllum
Eptesicus nilssonii
Eptesicus serotinus
Equisetum ramosissimum
Erebia medusa
Erebia nivalis
Erebia styx
Erebia sudetica
Erebia triarius
Erigeron atticus
Erinaceus europaeus
Eriophorum gracile
Eriophorum vaginatum
Eryngium alpinum
Eryngium campestre
Erysimum cheiranthoides
Erysimum virgatum
Erythromma lindenii
Euchloe simplonia
Euchorthippus declivus
Euconulus alderi
Eumodicogryllus bordigalensis
Euomphalia strigella
Euonymus latifolius
Euphorbia exigua
Euphorbia falcata
Euphorbia palustris
Euphrasia stricta
Euphydryas cynthia
Euphydryas intermedia
Euplagia quadripunctaria
Euthrix potatoria
Evernia divaricata
Evodinus clathratus
Faerberia carbonaria
Falcaria lacertinaria
Falco peregrinus
Falco subbuteo
Falco tinnunculus
Felis silvestris
Festuca pallens
Ficedula albicollis
Filago arvensis
Filago minima
Filago vulgaris
Filipendula vulgaris
Fissidens exilis
Flammulaster carpophilus
Flammulaster limulatus
Fourraea alpina
Fragaria moschata
Fragaria viridis
Fritillaria meleagris
Frullania jackii
Frullania tamarisci
Fulgensia fulgens
Fumana ericoides
Fumaria capreolata
Fumaria vaillantii
Furcula bicuspis
Furcula bifida
Gagea lutea
Gagea minima
Gagea pratensis
Gagea villosa
Galeopsis ladanum
Galeopsis pubescens
Galeopsis speciosa
Galerina sphagnorum
Galerina tibiicystis
Galium elongatum
Galium glaucum
Galium parisiense
Galium spurium
Gallinago gallinago
Genista pilosa
Genista radiata
Gentiana alpina
Gentiana cruciata
Gentiana germanica
Gentiana pneumonanthe
Gentiana schleicheri
Gentiana utriculosa
Geranium divaricatum
Geranium lucidum
Geranium nodosum
Geranium palustre
Geranium pratense
Geranium rivulare
Gladiolus palustris
Glaucopsyche alexis
Gloeocystidiellum lactescens
Gloeoporus dichrous
Gnaphalium luteoalbum
Gnaphalium uliginosum
Gnorimus nobilis
Gnorimus variabilis
Gomphidius roseus
Gomphus pulchellus
Gomphus simillimus
Goodyera repens
Grammoptera abdominalis
Grammoptera ustulata
Granaria frumentum
Granaria illyrica
Granaria variabilis
Gratiola officinalis
Grimmia crinita
Gyalecta truncigena
Gypaetus barbatus
Gypsophila muralis
Gyraulus crista
Gyraulus laevis
Gyroporus castaneus
Halictus quadricinctus
Halictus scabiosae
Halictus sexcinctus
Halictus subauratus
Hamatocaulis vernicosus
Hamearis lucina
Harpalus smaragdinus
Helianthemum canum
Helicella itala
Heliotropium europaeum
Helleborus viridis
Helvella queletii
Hemaris tityus
Heracleum austriacum
Heriades crenulatus
Hericium cirrhatum
Hericium flagellum
Herminium monorchis
Herniaria hirsuta
Heteropterus morpheus
Hieracium caespitosum
Hieracium cymosum
Hieracium tomentosum
Hierophis viridiflavus
Himantoglossum hircinum
Hipparchia fagi
Hipparchia genava
Hipparchia semele
Hipparchia statilinus
Hippolais icterina
Hippolais polyglotta
Hoplitis tridentata
Horminum pyrenaicum
Hottonia palustris
Hydnoporia tabacina
Hydrocotyle vulgaris
Hygroamblystegium fluviatile
Hygrocybe calyptriformis
Hygrocybe ceracea
Hygrocybe citrinovirens
Hygrocybe coccineocrenata
Hygrocybe helobia
Hygrocybe intermedia
Hygrocybe laeta
Hygrocybe miniata
Hygrocybe persistens
Hygrocybe punicea
Hygrocybe reidii
Hygrohypnum duriusculum
